transaction date,post date,description,category,type,amount,memo,Category
06/09/2026,06/10/2026,BLUE SHIELD CALIFORNIA,Bills & Utilities,Sale,-159.0,,Medicare Premium
06/08/2026,06/10/2026,LOWES #03095*,Home,Sale,-186.74,,
06/08/2026,06/10/2026,LOWES #03095*,Home,Sale,-11.91,,
06/07/2026,06/09/2026,TRADER JOE S #236,Groceries,Sale,-189.42,,
06/07/2026,06/08/2026,SLOAT GARDEN CNTR #1,Home,Sale,-317.99,,
06/07/2026,06/08/2026,CVS/PHARMACY #01983,Health & Wellness,Sale,-10.85,,
06/06/2026,06/08/2026,IMPARK00270094U,Travel,Sale,-24.0,,
06/07/2026,06/08/2026,TST* THE INTERVAL,Food & Drink,Sale,-30.5,,
06/07/2026,06/08/2026,CVS/PHARMACY #01983,Health & Wellness,Sale,-10.0,,
06/05/2026,06/07/2026,SQ *MATCHA CAFE MAIKO SF,Food & Drink,Sale,-7.95,,
06/04/2026,06/05/2026,PG&amp;E/EZ-PAY,Bills & Utilities,Sale,-209.74,,
06/03/2026,06/04/2026,BEVERAGES &amp; MORE #03,Food & Drink,Sale,-126.7,,
06/03/2026,06/04/2026,GROCERY OUTLET OF B,Groceries,Sale,-16.11,,
06/01/2026,06/03/2026,IMPARK00270103A,Travel,Sale,-18.0,,
06/01/2026,06/02/2026,SQ *AESTHETIC OOGII LLC ,Personal,Sale,-570.0,,
05/31/2026,06/02/2026,TRADER JOE S #236,Groceries,Sale,-166.61,,
06/01/2026,06/02/2026,COSTCO *ANNUAL RENEWAL,Shopping,Sale,-65.0,,
05/31/2026,05/31/2026,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-1.92,,
05/29/2026,05/31/2026,SC COMPTOIR ALP,Home,Sale,-64.15,,
05/31/2026,05/31/2026,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.4,,
05/28/2026,05/31/2026,LM ALPILLES     2431753,Shopping,Sale,-13.53,,
05/31/2026,05/31/2026,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-1.36,,
05/29/2026,05/31/2026,Culturespaces SAS,Entertainment,Sale,-45.49,,
05/31/2026,05/31/2026,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.2,,
